# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 9.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
10            	3.961427e-01	8.421915e-02	3.119236e-01	2.277044e+00	6.171580e-01	1.659886e+00	-5.213640e-01	-1.138522e-01	1.980713e-02	-3.366013e-19	1.980713e-02	-1.980713e-02
20            	3.049796e-02	-9.091123e-03	3.958909e-02	4.868021e-01	2.846565e-01	2.021456e-01	4.125547e-02	-2.434011e-02	1.524898e-03	-5.541137e-20	1.524898e-03	-1.524898e-03
30            	1.003266e-01	2.884785e-03	9.744183e-02	9.455704e-01	3.611343e-01	5.844361e-01	-1.116509e-01	-4.727852e-02	5.016331e-03	-9.498036e-20	5.016331e-03	-5.016331e-03
40            	9.696710e-02	-1.706768e-04	9.713777e-02	9.730845e-01	3.821506e-01	5.909339e-01	-1.043916e-01	-4.865423e-02	4.848355e-03	-1.074957e-19	4.848355e-03	-4.848355e-03
50            	8.844460e-02	-3.880662e-03	9.232526e-02	9.620593e-01	3.901898e-01	5.718695e-01	-9.083983e-02	-4.810296e-02	4.422230e-03	-1.058815e-19	4.422230e-03	-4.422230e-03
60            	8.490872e-02	-5.764754e-03	9.067348e-02	9.643823e-01	3.943489e-01	5.700334e-01	-8.784221e-02	-4.821912e-02	4.245436e-03	-1.060394e-19	4.245436e-03	-4.245436e-03
70            	8.273349e-02	-7.053839e-03	8.978733e-02	9.684117e-01	3.987140e-01	5.696977e-01	-8.549182e-02	-4.842059e-02	4.136675e-03	-1.060847e-19	4.136675e-03	-4.136675e-03
80            	8.148388e-02	-7.921962e-03	8.940584e-02	9.732780e-01	4.020159e-01	5.712622e-01	-8.462316e-02	-4.866390e-02	4.074194e-03	-1.058877e-19	4.074194e-03	-4.074194e-03
90            	8.049097e-02	-8.542003e-03	8.903297e-02	9.757497e-01	4.041993e-01	5.715505e-01	-8.367560e-02	-4.878749e-02	4.024548e-03	-1.058337e-19	4.024548e-03	-4.024548e-03
100           	7.977947e-02	-8.899041e-03	8.867851e-02	9.757756e-01	4.053400e-01	5.704355e-01	-8.254773e-02	-4.878878e-02	3.988974e-03	-1.056993e-19	3.988974e-03	-3.988974e-03
110           	7.949487e-02	-9.035535e-03	8.853040e-02	9.756594e-01	4.059683e-01	5.696911e-01	-8.186138e-02	-4.878297e-02	3.974743e-03	-1.055286e-19	3.974743e-03	-3.974743e-03
120           	7.946827e-02	-9.100056e-03	8.856833e-02	9.766839e-01	4.066096e-01	5.700742e-01	-8.173228e-02	-4.883419e-02	3.973414e-03	-1.054449e-19	3.973414e-03	-3.973414e-03
130           	7.947439e-02	-9.192073e-03	8.866647e-02	9.785854e-01	4.074526e-01	5.711328e-01	-8.184009e-02	-4.892927e-02	3.973720e-03	-1.054163e-19	3.973720e-03	-3.973720e-03
140           	7.944213e-02	-9.314212e-03	8.875635e-02	9.807056e-01	4.083824e-01	5.723232e-01	-8.197042e-02	-4.903528e-02	3.972107e-03	-1.053957e-19	3.972107e-03	-3.972107e-03
150           	7.939148e-02	-9.436607e-03	8.882809e-02	9.826470e-01	4.092432e-01	5.734037e-01	-8.208024e-02	-4.913235e-02	3.969574e-03	-1.053691e-19	3.969574e-03	-3.969574e-03
160           	7.932597e-02	-9.543167e-03	8.886913e-02	9.841230e-01	4.099168e-01	5.742062e-01	-8.214474e-02	-4.920615e-02	3.966298e-03	-1.053391e-19	3.966298e-03	-3.966298e-03
170           	7.926968e-02	-9.632916e-03	8.890259e-02	9.853551e-01	4.104843e-01	5.748708e-01	-8.219325e-02	-4.926776e-02	3.963484e-03	-1.053084e-19	3.963484e-03	-3.963484e-03
180           	7.921795e-02	-9.707309e-03	8.892526e-02	9.863257e-01	4.109370e-01	5.753887e-01	-8.222587e-02	-4.931629e-02	3.960898e-03	-1.052804e-19	3.960898e-03	-3.960898e-03
190           	7.917582e-02	-9.763960e-03	8.893978e-02	9.870374e-01	4.112709e-01	5.757665e-01	-8.224778e-02	-4.935187e-02	3.958791e-03	-1.052604e-19	3.958791e-03	-3.958791e-03
200           	7.913604e-02	-9.814256e-03	8.895029e-02	9.876455e-01	4.115613e-01	5.760842e-01	-8.226145e-02	-4.938227e-02	3.956802e-03	-1.052410e-19	3.956802e-03	-3.956802e-03
210           	7.910293e-02	-9.854023e-03	8.895695e-02	9.881098e-01	4.117868e-01	5.763229e-01	-8.226805e-02	-4.940549e-02	3.955147e-03	-1.052261e-19	3.955147e-03	-3.955147e-03
220           	7.907631e-02	-9.884295e-03	8.896061e-02	9.884490e-01	4.119548e-01	5.764942e-01	-8.226970e-02	-4.942245e-02	3.953816e-03	-1.052143e-19	3.953816e-03	-3.953816e-03
